iter	MultiClass
0	1.086262396
1	1.077436391
2	1.069808367
3	1.060323127
4	1.051429771
5	1.043128435
6	1.036835146
7	1.029098947
8	1.022926851
9	1.01897473
10	1.014213014
11	1.008852098
12	1.004200054
13	0.9994600618
14	0.9950058176
15	0.9911035259
16	0.9887422193
17	0.9854683343
18	0.9824158216
19	0.9785154232
20	0.9756744294
21	0.9721576294
22	0.9696998468
23	0.9666526124
24	0.9636098213
25	0.9615820073
26	0.9594052858
27	0.9576637123
28	0.9555046183
29	0.9533722769
30	0.9522033298
31	0.9514068582
32	0.9498025718
33	0.9479284233
34	0.9461409811
35	0.9452204939
36	0.944241073
37	0.9432438735
38	0.9417437987
39	0.9407627026
40	0.9394705097
41	0.9382878205
42	0.9370676853
43	0.936105742
44	0.93566684
45	0.9346221491
46	0.9343142551
47	0.9332641255
48	0.9327613648
49	0.9319302731
50	0.9311077906
51	0.9308274039
52	0.9301554156
53	0.9294244257
54	0.9291699451
55	0.9285440198
56	0.9281672026
57	0.9276737314
58	0.9272420311
59	0.9269696626
60	0.9263198804
61	0.9259446644
62	0.9254206095
63	0.924869452
64	0.9239645481
65	0.9238071016
66	0.923259967
67	0.9225298677
68	0.9224012309
69	0.9217131526
70	0.9213522759
71	0.9210775061
72	0.9207344634
73	0.9202747692
74	0.9199290172
75	0.9195994201
76	0.9192235755
77	0.9186337384
78	0.9182976321
79	0.9181335261
80	0.9178031576
81	0.9172991947
82	0.9172012501
83	0.9171116367
84	0.9169261978
85	0.9168839137
86	0.9168838978
87	0.9165983527
88	0.9161961031
89	0.9160751632
90	0.9157666312
91	0.915418799
92	0.9147646252
93	0.9146459234
94	0.9142800959
95	0.914074096
96	0.914039324
97	0.9138673287
98	0.9134252976
99	0.9134045698
100	0.9129947724
101	0.9129043333
102	0.9127505155
103	0.9125906444
104	0.9125687711
105	0.9122217077
106	0.9117980961
107	0.9117276914
108	0.9117038997
109	0.9112870983
110	0.9110695649
111	0.9108733318
112	0.9108733246
113	0.9106131919
114	0.9104168598
115	0.9102120808
116	0.9099867747
117	0.9098778384
118	0.9097430076
119	0.9095919597
120	0.9091515448
121	0.9089763302
122	0.9088655581
123	0.9086360305
124	0.9084616149
125	0.9083004979
126	0.9079310456
127	0.9078620631
128	0.9077528132
129	0.9077528113
130	0.907663829
131	0.907416811
132	0.9070935594
133	0.9067276578
134	0.9065501865
135	0.9063480749
136	0.9062482994
137	0.9059159685
138	0.9058091963
139	0.9056842563
140	0.905590812
141	0.9055847025
142	0.9055602351
143	0.9054396739
144	0.9052583199
145	0.9050420963
146	0.9047930442
147	0.9044513756
148	0.9042710854
149	0.9040410821
150	0.9038444311
151	0.9038444305
152	0.9036710521
153	0.9035864083
154	0.9035853195
155	0.9035437029
156	0.9035437026
157	0.9035415248
158	0.9035159697
159	0.9031723183
160	0.9030015423
161	0.9029446997
162	0.9028204922
163	0.9026446784
164	0.9026446781
165	0.9026446779
166	0.9025238798
167	0.9023778944
168	0.9023236378
169	0.902278621
170	0.9022295764
171	0.9020509127
172	0.9020275302
173	0.9019518282
174	0.90194075
175	0.9017523677
176	0.901678939
177	0.9016757483
178	0.901659864
179	0.9012605179
180	0.900846874
181	0.9007674451
182	0.9007674448
183	0.9004598186
184	0.9004513595
185	0.9003729805
186	0.9002502732
187	0.9002479297
188	0.9002328809
189	0.9002207364
190	0.8999719343
191	0.8998830307
192	0.8998295797
193	0.8996016164
194	0.8995054907
195	0.8993830487
196	0.8992854982
197	0.8989202048
198	0.8988705286
199	0.898783304
200	0.8986905721
201	0.8986884045
202	0.8986864611
203	0.8984974793
204	0.898474602
205	0.8983934929
206	0.8983919797
207	0.898261546
208	0.8982583584
209	0.8981369002
210	0.8980077228
211	0.8979634224
212	0.8973076231
213	0.8973067206
214	0.8970747428
215	0.8970193279
216	0.8968760555
217	0.8968760547
218	0.8968328755
219	0.8966582189
220	0.8964571518
221	0.8962517061
222	0.8961725215
223	0.8957113605
224	0.895697585
225	0.8956967649
226	0.8956436563
227	0.8954144064
228	0.8952907216
229	0.8952219161
230	0.8949900211
231	0.8949339048
232	0.8946653211
233	0.8945856
234	0.8944501291
235	0.8939479473
236	0.8937867783
237	0.8934887538
238	0.8931388466
239	0.8929757958
240	0.8927771357
241	0.8921912118
242	0.8917144099
243	0.8913840407
244	0.8911208826
245	0.891038085
246	0.8909505412
247	0.8908286408
248	0.8907828399
249	0.890365056
250	0.8901197126
251	0.8899219432
252	0.8897701631
253	0.8896913231
254	0.889576963
255	0.8894009652
256	0.8892015394
257	0.8890426711
258	0.8886508025
259	0.8884326457
260	0.8883444722
261	0.8882441364
262	0.8880793623
263	0.8877523654
264	0.8875272411
265	0.8872522231
266	0.8871347195
267	0.8864184537
268	0.8861415677
269	0.8859673764
270	0.885414258
271	0.8852223926
272	0.8848581678
273	0.8846827689
274	0.8839398951
275	0.8837223258
276	0.8834559903
277	0.8831612565
278	0.8829499687
279	0.8826762153
280	0.8821618277
281	0.8817892984
282	0.8814266783
283	0.8810158764
284	0.8806255334
285	0.8803761077
286	0.8800220408
287	0.8795825863
288	0.8793764709
289	0.8790696871
290	0.8786556215
291	0.8783906384
292	0.8779989967
293	0.8777521498
294	0.8775092307
295	0.8770395373
296	0.8766006616
297	0.8765010236
298	0.8760576601
299	0.8753780764
300	0.874894973
301	0.8746434766
302	0.8743309153
303	0.8736887395
304	0.8732950573
305	0.8730879941
306	0.8727483308
307	0.8724213695
308	0.8720906974
309	0.8717626623
310	0.8713766184
311	0.8708936395
312	0.8703980586
313	0.8699222436
314	0.8695113896
315	0.8691028271
316	0.8687719844
317	0.8683741009
318	0.8680879744
319	0.8674257676
320	0.8669859206
321	0.8665942872
322	0.8660615016
323	0.8657152117
324	0.8653696451
325	0.8648545061
326	0.8645827484
327	0.8643871684
328	0.8641092118
329	0.8637473028
330	0.8633275483
331	0.8631981572
332	0.8631393164
333	0.8626262064
334	0.8623457526
335	0.86189822
336	0.8613376322
337	0.861164961
338	0.8608401326
339	0.8604634955
340	0.8602397041
341	0.8598514515
342	0.8595561198
343	0.8591606371
344	0.8587510717
345	0.8584758329
346	0.8582401506
347	0.8580266658
348	0.8575610399
349	0.8571270387
350	0.8566468035
351	0.8564437716
352	0.8561326641
353	0.8558284307
354	0.8556124137
355	0.8551565371
356	0.8549168745
357	0.8545624971
358	0.8543507089
359	0.8540684597
360	0.853551071
361	0.8533392288
362	0.8528831372
363	0.8525199757
364	0.8522137415
365	0.8519581484
366	0.8515662143
367	0.851183715
368	0.850843357
369	0.8503603449
370	0.8500261594
371	0.8497813321
372	0.849618464
373	0.8491490195
374	0.8488276991
375	0.8485533215
376	0.848280177
377	0.8481263742
378	0.8478128792
379	0.8476135458
380	0.8474641106
381	0.8470889307
382	0.846885927
383	0.8465380376
384	0.8463130986
385	0.8461086977
386	0.8456972583
387	0.8452248906
388	0.8450215961
389	0.8448353647
390	0.8446822295
391	0.8441743658
392	0.8439379237
393	0.8436503893
394	0.8432198636
395	0.842791704
396	0.8424121988
397	0.8422294015
398	0.8421614162
399	0.8420309542
400	0.8414273707
401	0.8407401138
402	0.8404012553
403	0.8399484618
404	0.8397155846
405	0.8393358426
406	0.8389904263
407	0.838800755
408	0.8384753046
409	0.8380835002
410	0.8378638633
411	0.8376091725
412	0.8372724866
413	0.8368515956
414	0.8366620963
415	0.8363153075
416	0.8360962665
417	0.8357810471
418	0.8354551689
419	0.8348889858
420	0.8347653236
421	0.8342620386
422	0.8338242492
423	0.8335642124
424	0.8333505413
425	0.8331411767
426	0.832797096
427	0.8322263898
428	0.832067585
429	0.8316768942
430	0.8314267403
431	0.8311004924
432	0.8309253305
433	0.8305990659
434	0.8303660891
435	0.830324783
436	0.8301518944
437	0.830058564
438	0.8298022537
439	0.8293868355
440	0.8289537078
441	0.828614685
442	0.8282219906
443	0.827980059
444	0.8276534618
445	0.8272832708
446	0.8270845632
447	0.8267954413
448	0.8266780728
449	0.8261783595
450	0.8258909329
451	0.8256024562
452	0.8253287592
453	0.8248300665
454	0.824663858
455	0.8243571664
456	0.8238840556
457	0.8237000733
458	0.8233037632
459	0.8229940656
460	0.8226545516
461	0.8223845194
462	0.8220151437
463	0.8216965919
464	0.8213584718
465	0.8210589142
466	0.8205122569
467	0.8199733817
468	0.8196722379
469	0.8195953228
470	0.8190764359
471	0.8189888233
472	0.8187964621
473	0.8184541057
474	0.8181220463
475	0.8177566509
476	0.8173136686
477	0.8169524206
478	0.8167338023
479	0.8164471882
480	0.8161255368
481	0.8159855842
482	0.8157137375
483	0.8153794305
484	0.8151331549
485	0.8147416334
486	0.8141792401
487	0.8137441099
488	0.8135529119
489	0.8133790018
490	0.8131212805
491	0.8129009701
492	0.8126429906
493	0.8123561677
494	0.8120716122
495	0.8118190076
496	0.8114524052
497	0.8112942702
498	0.8109935264
499	0.810820992
500	0.8105063981
501	0.8102992388
502	0.8100804232
503	0.8099915306
504	0.8096434079
505	0.8093268083
506	0.8089263933
507	0.8086969331
508	0.8084793604
509	0.8084416487
510	0.8083232312
511	0.8081991385
512	0.8078728786
513	0.8074868942
514	0.8072154974
515	0.806632744
516	0.8062508103
517	0.8059479756
518	0.8055000338
519	0.8052099144
520	0.8049047364
521	0.804666776
522	0.8046292174
523	0.804429568
524	0.8043366605
525	0.8042363007
526	0.8041097308
527	0.8034022479
528	0.8029926732
529	0.8027261204
530	0.8022446424
531	0.8021443555
532	0.8017464406
533	0.8015071174
534	0.8013518747
